-4.008,-0.761,-5.656,0.246,-0.013,-0.003,0.125,-0.053
-2.929,-1.125,-3.391,-1.043,-0.013,-0.003,0.008,0.013
-2.850,-1.041,-3.155,-0.777,-0.013,-0.003,-0.005,-0.001
-2.489,-1.180,-2.823,-0.712,-0.013,-0.003,-0.020,-0.004
-2.038,-1.485,-1.911,-1.112,-0.012,-0.003,-0.058,0.017
-2.225,-0.931,-2.400,-0.589,-0.012,-0.003,-0.028,-0.009
-2.376,-0.154,-2.421,0.280,-0.012,-0.003,-0.023,-0.051
-1.843,0.191,-2.239,1.134,-0.011,-0.002,-0.026,-0.080
-2.012,0.616,-2.092,1.726,-0.011,-0.001,-0.030,-0.099
-2.099,0.644,-2.104,2.608,-0.011,-0.000,-0.026,-0.133
-1.808,0.408,-2.133,1.234,-0.010,0.001,-0.023,-0.054
-1.312,0.264,-1.343,0.635,-0.010,0.001,-0.055,-0.020
-0.670,0.051,-0.139,0.157,-0.009,0.001,-0.105,0.003
-0.798,0.187,-0.462,0.707,-0.008,0.001,-0.078,-0.023
0.191,0.335,0.708,1.074,-0.007,0.001,-0.120,-0.038
0.644,0.704,2.187,1.394,-0.006,0.002,-0.179,-0.050
1.403,0.931,1.438,1.611,-0.002,0.003,-0.098,-0.045
1.396,0.947,2.044,1.664,-0.001,0.003,-0.119,-0.044
0.919,1.152,1.250,1.616,-0.001,0.003,-0.071,-0.040
0.545,0.664,0.418,1.285,-0.000,0.004,-0.022,-0.020
0.649,0.621,0.172,0.663,-0.000,0.003,-0.009,0.009
0.159,0.723,-0.418,0.928,-0.000,0.003,0.019,-0.003
-0.095,0.642,-0.968,0.903,-0.000,0.003,0.043,-0.002
-0.607,0.397,-1.505,0.383,-0.001,0.003,0.067,0.024
-0.193,0.703,-0.653,0.651,-0.001,0.003,0.018,0.010
-0.823,0.643,-1.598,0.559,-0.002,0.003,0.061,0.012
-0.601,0.132,-1.488,0.195,-0.002,0.003,0.050,0.029
-1.577,0.291,-2.775,0.682,-0.004,0.003,0.095,0.003
-1.858,0.483,-5.861,6.933,-0.017,0.028,0.077,0.003
-1.126,0.195,-8.944,15.090,-0.035,0.062,0.016,0.025
-1.057,0.405,-13.362,23.923,-0.051,0.096,0.026,0.000
-3.039,3.638,-15.345,27.430,-0.067,0.127,-0.076,0.220
-5.832,8.728,-17.410,31.260,-0.082,0.156,-0.158,0.388
-7.748,8.381,-17.211,25.321,-0.095,0.178,-0.328,0.958
-7.982,8.017,-15.336,18.650,-0.105,0.196,-0.551,1.513
-4.151,2.538,-11.940,15.415,-0.112,0.209,-0.807,1.841
-3.847,-0.256,-9.638,8.816,-0.114,0.206,-0.943,2.132
-8.972,6.682,-10.633,6.921,-0.116,0.208,-0.923,2.248
-6.205,1.245,-9.412,2.612,-0.121,0.214,-1.039,2.549
-5.165,1.607,-5.315,-0.158,-0.121,0.213,-1.243,2.671
-4.393,-0.291,-3.987,-5.370,-0.115,0.198,-1.236,2.740
-5.258,2.240,-3.069,-3.212,-0.112,0.197,-1.250,2.620
-3.788,0.275,1.123,-9.496,-0.091,0.147,-1.189,2.307
-3.788,0.275,-0.061,-7.127,-0.095,0.156,-1.189,2.307
-2.800,0.980,6.468,-14.626,-0.073,0.113,-1.232,2.149
-2.195,-0.318,5.439,-15.531,-0.068,0.109,-1.122,2.141
-2.495,-0.741,5.089,-15.590,-0.061,0.095,-1.011,1.961
-0.660,-1.092,8.169,-15.998,-0.048,0.069,-1.007,1.661
-0.244,-0.257,7.716,-13.425,-0.034,0.046,-0.813,1.247
-0.391,0.017,7.029,-12.542,-0.026,0.035,-0.681,1.065
0.359,-0.720,8.930,-15.231,-0.016,0.018,-0.650,0.981
0.050,1.267,6.827,-10.611,-0.004,-0.003,-0.395,0.490
0.524,-0.256,8.595,-13.304,0.006,-0.020,-0.356,0.410
0.721,-0.386,7.079,-13.357,0.016,-0.039,-0.148,0.175
1.470,-0.317,8.465,-9.629,0.028,-0.057,-0.072,-0.226
4.518,-3.599,9.410,-10.532,0.039,-0.074,0.019,-0.401
2.912,0.094,8.780,-8.992,0.050,-0.093,0.187,-0.708
4.943,-2.164,11.945,-13.691,0.062,-0.115,0.181,-0.756
6.288,-4.572,9.596,-8.764,0.069,-0.122,0.380,-1.088
5.129,-1.842,11.313,-10.081,0.081,-0.146,0.449,-1.321
4.864,-1.624,10.112,-10.576,0.090,-0.164,0.620,-1.525
4.825,-2.936,9.304,-10.354,0.100,-0.179,0.782,-1.717
4.825,-2.936,13.397,-18.539,0.116,-0.211,0.782,-1.717
